train_ratio,val_split,macd_fast,macd_slow,macd_signal,rsi_length,rsi_scalar,rsi_drift,MAE,RMSE,Closeness,model_filename
0.7,0.30000000000000004,12,26,5,10,100,1,0.35015037316589526,0.3873804635264957,0.3506497201686531,ratio_70__macd_12_26_5__rsi_10_100_1.h5
0.7,0.30000000000000004,12,26,5,10,100,2,0.4104915180205867,0.4537142931971869,0.41049151802058664,ratio_70__macd_12_26_5__rsi_10_100_2.h5
0.7,0.30000000000000004,12,26,5,14,100,1,0.38410348476175116,0.4250046742992039,0.3841041967291076,ratio_70__macd_12_26_5__rsi_14_100_1.h5
0.7,0.30000000000000004,12,26,5,14,100,2,0.38081204255772866,0.4219672448358301,0.38081204255772855,ratio_70__macd_12_26_5__rsi_14_100_2.h5
0.7,0.30000000000000004,12,26,9,10,100,1,0.41662489334941255,0.45938776331622116,0.4166248933494126,ratio_70__macd_12_26_9__rsi_10_100_1.h5
0.7,0.30000000000000004,12,26,9,10,100,2,0.3510075228772218,0.387621561151031,0.3515979240055987,ratio_70__macd_12_26_9__rsi_10_100_2.h5
0.7,0.30000000000000004,12,26,9,14,100,1,0.23231535567464104,0.25517705578332395,0.2695020183019081,ratio_70__macd_12_26_9__rsi_14_100_1.h5
0.7,0.30000000000000004,12,26,9,14,100,2,0.4117621894127101,0.45362806278442436,0.41176218941271014,ratio_70__macd_12_26_9__rsi_14_100_2.h5
0.6,0.4,8,17,5,10,100,1,0.13344769195258085,0.1616605162466544,0.24835269303422078,ratio_60__macd_8_17_5__rsi_10_100_1.h5
0.6,0.4,8,17,5,10,100,2,0.24339941749526342,0.2936772380110278,0.2705525732468418,ratio_60__macd_8_17_5__rsi_10_100_2.h5
0.6,0.4,8,17,5,14,100,1,0.3587318548084817,0.42093154668615496,0.3587322441299235,ratio_60__macd_8_17_5__rsi_14_100_1.h5
0.6,0.4,8,17,5,14,100,2,0.2800909009399571,0.3338998981789312,0.29160754313981324,ratio_60__macd_8_17_5__rsi_14_100_2.h5
0.6,0.4,8,17,9,10,100,1,0.12275358230541997,0.14743813917066545,0.24961036497875944,ratio_60__macd_8_17_9__rsi_10_100_1.h5
0.6,0.4,8,17,9,10,100,2,0.3166691696803748,0.37253907430518696,0.31952606148464924,ratio_60__macd_8_17_9__rsi_10_100_2.h5
0.6,0.4,8,17,9,14,100,1,0.1269321001682997,0.15540983566580177,0.2469010188697999,ratio_60__macd_8_17_9__rsi_14_100_1.h5
0.6,0.4,8,17,9,14,100,2,0.3643151867989079,0.4273177808595967,0.36431518679890784,ratio_60__macd_8_17_9__rsi_14_100_2.h5
0.6,0.4,8,26,5,10,100,1,0.28201555211819607,0.33530786228484516,0.29325156307994554,ratio_60__macd_8_26_5__rsi_10_100_1.h5
0.6,0.4,8,26,5,10,100,2,0.18153901421906254,0.22125049394649976,0.25139849688551563,ratio_60__macd_8_26_5__rsi_10_100_2.h5
0.6,0.4,8,26,5,14,100,1,0.2826345171989957,0.3374245851504059,0.2930150716578146,ratio_60__macd_8_26_5__rsi_14_100_1.h5
0.6,0.4,8,26,5,14,100,2,0.29669981508214,0.3548363727445421,0.30285880605343746,ratio_60__macd_8_26_5__rsi_14_100_2.h5
0.6,0.4,8,26,9,10,100,1,0.11209311096472502,0.13962410319233493,0.2470695313749453,ratio_60__macd_8_26_9__rsi_10_100_1.h5
0.6,0.4,8,26,9,10,100,2,0.30555168412913686,0.3647822521900908,0.30941483318686647,ratio_60__macd_8_26_9__rsi_10_100_2.h5
0.6,0.4,8,26,9,14,100,1,0.12321108969447668,0.14747714810272172,0.24946256251614704,ratio_60__macd_8_26_9__rsi_14_100_1.h5
0.6,0.4,8,26,9,14,100,2,0.320387472598264,0.37991663118106433,0.3224609894277072,ratio_60__macd_8_26_9__rsi_14_100_2.h5
0.6,0.4,12,17,5,10,100,1,0.22351765079409336,0.27141962169148454,0.26211634749583745,ratio_60__macd_12_17_5__rsi_10_100_1.h5
0.6,0.4,12,17,5,10,100,2,0.32606059478498495,0.38538436673909876,0.3273001756522886,ratio_60__macd_12_17_5__rsi_10_100_2.h5
0.6,0.4,12,17,5,14,100,1,0.18012501515806748,0.2155313597505598,0.2537772057925083,ratio_60__macd_12_17_5__rsi_14_100_1.h5
0.6,0.4,12,17,5,14,100,2,0.2214935605692092,0.2648887497167687,0.2639724921300698,ratio_60__macd_12_17_5__rsi_14_100_2.h5
0.6,0.4,12,17,9,10,100,1,0.2799630202410488,0.33547367658028354,0.29085145492406084,ratio_60__macd_12_17_9__rsi_10_100_1.h5
